-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      13.96 Gb      13.96 Gb          2340  
                                     cudaGetDeviceCount         0.08%       1.899ms         0.08%       1.899ms     949.640us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2  
                             cudaGetDeviceProperties_v2         0.06%       1.406ms         0.06%       1.406ms       1.406ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                       cudaDeviceGetStreamPriorityRange         6.06%     142.524ms         6.06%     142.524ms     142.524ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                  cudaStreamIsCapturing         0.02%     542.770us         0.02%     542.770us       2.056us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           264  
                                             cudaMalloc         2.34%      55.030ms         2.34%      55.030ms     208.447us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           264  
                                        cudaMemcpyAsync        89.87%        2.114s        89.87%        2.114s       5.057ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           418  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us        2.077s        99.85%        2.077s       4.970ms           0 b           0 b           0 b           0 b           418  
                                  cudaStreamSynchronize         0.94%      22.145ms         0.94%      22.145ms      52.977us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           418  
                                         cudaMemGetInfo         0.00%      30.058us         0.00%      30.058us      30.058us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                               cudaFree         0.01%     153.137us         0.01%     153.137us     153.137us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
