-----------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-----------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                           [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us       8.25 Kb       8.25 Kb      12.55 Gb      12.55 Gb          2263  
        hipGetDevicePropertiesR0600         0.00%       4.740us         0.00%       4.740us       4.740us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
    hipDeviceGetStreamPriorityRange         0.00%       0.501us         0.00%       0.501us       0.501us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
               hipStreamIsCapturing         0.02%     314.109us         0.02%     314.109us       1.378us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           228  
                          hipMalloc         2.24%      40.756ms         2.24%      40.756ms     178.756us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           228  
                hipMemcpyWithStream        97.74%        1.781s        97.74%        1.781s       5.480ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           325  
       Memcpy HtoD (Host -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     699.867ms       100.00%     699.867ms       2.153ms           0 b           0 b           0 b           0 b           325  
                      hipMemGetInfo         0.00%       3.980us         0.00%       3.980us       3.980us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                            hipFree         0.00%      17.659us         0.00%      17.659us      17.659us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
               hipDeviceSynchronize         0.00%       6.960us         0.00%       6.960us       6.960us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-----------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.822s
Self CUDA time total: 699.867ms
