-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      13.96 Gb      13.96 Gb          2340  
                            hipGetDevicePropertiesR0600         0.00%       5.410us         0.00%       5.410us       5.410us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                        hipDeviceGetStreamPriorityRange         0.00%       0.499us         0.00%       0.499us       0.499us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                   hipStreamIsCapturing         0.00%     261.740us         0.00%     261.740us       0.991us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           264  
                                              hipMalloc         0.59%      47.036ms         0.59%      47.036ms     178.168us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           264  
                                    hipMemcpyWithStream        99.25%        7.966s        99.25%        7.966s      19.057ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           418  
                           Memcpy HtoD (Host -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     840.777ms        99.44%     840.777ms       2.011ms           0 b           0 b           0 b           0 b           418  
                                          hipMemGetInfo         0.00%       3.570us         0.00%       3.570us       3.570us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                                hipFree         0.00%      17.790us         0.00%      17.790us      17.790us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
                                        hipLaunchKernel         0.12%       9.242ms         0.12%       9.242ms     616.107us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            15  
void at::native::elementwise_kernel<512, 1, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       4.699ms         0.56%       4.699ms     313.270us           0 b           0 b           0 b           0 b            15  
